Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis
INF-2C9A16603C99,2025,II. CRIMINALITÉ ET ACTES DE BANDITISME,Meurtre,meurtre,2,1,0,0,2,1,0,0,0,0,0,0,0,2,3,3,2,6,0.6667,1.0,2,False,
INF-32D87BD675C3,2025,III. INFRACTIONS COURANTES,Vol avec effraction,vol avec effraction,1296,91,70,34,502,465,12,0,1,396,62,43,109,239,1491,979,453,2867,0.1603,1.0,1296,False,
INF-C40471D4EC12,2025,III. INFRACTIONS COURANTES,Vol à la tire,vol a la tire,779,206,12,13,204,403,49,50,1,603,33,85,151,323,1010,706,592,2320,0.3198,1.0,779,False,
INF-0406076CD296,2025,III. INFRACTIONS COURANTES,Vol à l’esbroufe,vol a l'esbroufe,51,20,0,2,16,22,11,3,0,54,1,0,4,49,73,52,54,179,0.6712,1.0,51,False,
INF-D626732B6BA5,2025,III. INFRACTIONS COURANTES,Vol simple,vol simple,6111,389,153,44,1979,1930,244,273,0,1775,404,274,549,773,6697,4426,2000,12898,0.1154,1.0,6111,False,
INF-7D4DC5931C11,2025,III. INFRACTIONS COURANTES,Vol moto,vol moto,119,21,8,0,60,27,0,0,0,59,10,0,8,46,148,87,64,294,0.3108,1.0,119,False,
INF-862387822BF2,2025,III. INFRACTIONS COURANTES,VVF,vvf,131,7,29,0,58,747,0,0,0,69,7,10,33,45,167,805,95,1041,0.2695,1.0,131,False,
INF-75E26B361FF7,2025,III. INFRACTIONS COURANTES,Vol au préjudice de son employeur,vol au prejudice de son employeur,37,0,10,0,31,16,0,0,0,0,20,0,0,29,47,47,49,94,0.617,1.0,37,False,
INF-7F338587EFDA,2025,III. INFRACTIONS COURANTES,Destruction de bien d’autrui,destruction de bien d'autrui,100,36,3,0,97,32,1,1,0,80,4,30,21,29,139,131,84,350,0.2086,1.0,100,False,
INF-6255084EA78F,2025,III. INFRACTIONS COURANTES,VBG,vbg,4,0,1,0,1,4,0,0,0,0,5,0,0,0,5,5,5,10,0.0,1.0,4,False,
INF-9EC56D5EA164,2025,III. INFRACTIONS COURANTES,Violation de domicile,violation de domicile,39,16,3,0,19,26,0,0,0,67,2,28,1,14,58,45,45,170,0.2414,1.0,39,False,
INF-69E3A786B522,2025,III. INFRACTIONS COURANTES,Tentative de vol,tentative de vol,34,0,0,0,26,22,0,0,0,11,5,0,4,8,34,48,17,93,0.2353,1.0,34,False,
INF-D6B331807BC3,2025,III. INFRACTIONS COURANTES,Outrage et diffamation publique,outrage et diffamation publique,52,12,4,0,35,20,0,0,0,72,9,17,18,15,68,55,59,195,0.2206,1.0,52,False,
INF-AA5165B959E3,2025,III. INFRACTIONS COURANTES,Jet d’immondice,jet d'immondice,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,4,1.0,1.0,2,False,
INF-0894C53B1960,2025,III. INFRACTIONS COURANTES,Menace,menace,459,6,57,4,241,205,12,0,0,165,59,42,59,152,526,458,312,1149,0.289,1.0,459,False,
INF-F973198E13E9,2025,III. INFRACTIONS COURANTES,CBV,cbv,494,25,30,24,268,214,0,3,16,40,65,70,77,98,573,485,310,1114,0.171,1.0,494,False,
INF-4257E8ACDC24,2025,III. INFRACTIONS COURANTES,Autres,autres,253,2,2,4,138,135,0,0,0,85,39,27,7,46,261,273,119,619,0.1762,1.0,253,False,
INF-90F823076272,2025,III. INFRACTIONS COURANTES,Non-exécution DJ,non-execution dj,9,0,7,0,5,4,0,0,0,23,121,0,0,9,16,9,130,48,0.5625,1.0,9,False,
INF-C1A5CDAF783D,2025,III. INFRACTIONS COURANTES,Usurpation,usurpation,11,0,0,0,10,1,0,0,0,14,0,0,0,4,11,11,4,36,0.3636,1.0,11,False,
INF-3307FCCA0D93,2025,IV. INFRACTIONS ÉCONOMIQUES,Escroquerie,escroquerie,997,40,163,78,573,519,45,71,0,396,135,40,226,288,1278,1208,689,2882,0.2254,1.0,997,False,
INF-31D3D86194F2,2025,IV. INFRACTIONS ÉCONOMIQUES,ABC,abc,1123,31,226,24,643,471,16,9,0,432,142,85,200,261,1404,1139,688,2975,0.1859,1.0,1123,False,
INF-E1E8C818CC2F,2025,IV. INFRACTIONS ÉCONOMIQUES,Abus de fonction,abus de fonction,0,0,2,0,2,0,0,0,0,4,2,0,0,0,2,2,2,8,0.0,1.0,0,False,
INF-2657935215E6,2025,IV. INFRACTIONS ÉCONOMIQUES,Extorsion de fonds,extorsion de fonds,8,0,5,0,7,5,0,0,0,17,6,0,1,12,13,12,19,42,0.9231,1.0,8,False,
INF-DCEA7B08EBD9,2025,IV. INFRACTIONS ÉCONOMIQUES,Blanchiment de capitaux,blanchiment de capitaux,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,0.0,1.0,0,False,
INF-8B6673BD791A,2025,IV. INFRACTIONS ÉCONOMIQUES,Destructions de bien d’autrui,destructions de bien d'autrui,71,1,4,0,49,28,0,0,0,95,9,4,6,38,76,77,57,248,0.5,1.0,71,False,
INF-4E6426597785,2025,IV. INFRACTIONS ÉCONOMIQUES,"Incendie criminel, volontaire",incendie criminel volontaire,1,0,0,0,1,1,0,0,0,3,0,1,0,2,1,2,3,6,2.0,1.0,1,False,
INF-47F8324B5C27,2025,IV. INFRACTIONS ÉCONOMIQUES,Emission de chèque sans provision,emission de cheque sans provision,6,0,4,0,7,1,0,0,0,7,5,0,11,10,10,8,26,25,1.0,1.0,6,False,
INF-FDF3191631B7,2025,IV. INFRACTIONS ÉCONOMIQUES,Non-exécution d’une décision judiciaire,non-execution d'une decision judiciaire,0,0,4,0,2,1,0,0,0,4,3,0,0,3,4,3,6,11,0.75,1.0,0,False,
INF-0405525CC522,2025,IV. INFRACTIONS ÉCONOMIQUES,Faux et usage de faux,faux et usage de faux,38,1,22,0,46,25,0,0,0,39,15,0,14,31,61,71,60,171,0.5082,1.0,38,False,
INF-0135A813413E,2025,IV. INFRACTIONS ÉCONOMIQUES,Trafic d’influence,trafic d'influence,0,0,1,0,2,0,0,0,0,5,0,0,0,1,1,2,1,8,1.0,1.0,0,False,
INF-5751C313C3A4,2025,IV. INFRACTIONS ÉCONOMIQUES,Abattage d’arbre,abattage d'arbre,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,0,False,
INF-2D0BE80548F9,2025,IV. INFRACTIONS ÉCONOMIQUES,Acte de concurrence déloyale,acte de concurrence deloyale,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,0,False,
INF-615E20A9E846,2025,IV. INFRACTIONS ÉCONOMIQUES,Détournement de fonds,detournement de fonds,2,0,1,0,3,0,0,0,0,2,1,0,0,2,3,3,3,8,0.6667,1.0,2,False,
INF-7C642A62E52F,2025,IV. INFRACTIONS ÉCONOMIQUES,Stellionat,stellionat,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,1,False,
INF-F32E24E0E495,2025,IV. INFRACTIONS ÉCONOMIQUES,Usurpation d’identité,usurpation d'identite,0,0,2,0,2,0,0,0,0,2,0,0,1,1,2,2,2,6,0.5,1.0,0,False,
INF-3DFE1D84345D,2025,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,"Détention et consommation chanvre Indien, vente",detention et consommation chanvre indien vente,2,81,0,47,4,0,1,0,0,234,0,32,45,59,130,5,136,369,0.4538,1.0,2,False,
INF-5D37F7C370DB,2025,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Vente et injection d’héroïne,vente et injection d'heroine,0,14,0,3,0,0,0,0,0,28,0,0,3,25,17,0,28,45,1.4706,1.0,0,False,
INF-1D9339484A71,2025,V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES,Trafic,trafic,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,0.0,1.0,1,False,
INF-F5BE2A96F018,2025,VI. ACCIDENTS DE LA CIRCULATION,Corporel,corporel,852,153,45,5,689,306,102,86,0,349,94,101,291,220,1055,1183,706,2587,0.2085,1.0,852,False,
INF-1988E1703827,2025,VI. ACCIDENTS DE LA CIRCULATION,Matériel,materiel,262,70,16,0,160,50,0,0,0,178,13,49,105,100,348,210,267,736,0.2874,1.0,262,False,
INF-061B3B106C1A,2025,VI. ACCIDENTS DE LA CIRCULATION,Mortel,mortel,69,18,0,0,64,21,10,7,0,68,10,3,1,69,87,102,83,257,0.7931,1.0,69,False,
INF-835D61871924,2025,VI. ACCIDENTS DE LA CIRCULATION,Délit de fuite,delit de fuite,4,0,0,0,2,0,0,0,0,0,0,2,2,0,4,2,4,6,0.0,1.0,4,False,
INF-38134F8447CB,2025,VI. ACCIDENTS DE LA CIRCULATION,Conduite en état d’ivresse,conduite en etat d'ivresse,12,5,0,0,4,0,0,0,0,0,2,11,0,0,17,4,13,21,0.0,1.0,12,False,
