Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis,Cluster,PCA_1,PCA_2,Score_anomalie,Anomalie_ML,Raisons_anomalie,Anomalie_regle,Est_anomalie,Niveau_anomalie
INF-69E3A786B522,2025,III. INFRACTIONS COURANTES,Tentative de vol,tentative de vol,34,0,0,0,26,22,0,0,0,11,5,0,4,8,34,48,17,93,0.2353,1.0,34,False,,0,0.2465550074803678,-0.3287233921270482,-0.238485,False,,False,False,Normale
INF-D6B331807BC3,2025,III. INFRACTIONS COURANTES,Outrage et diffamation publique,outrage et diffamation publique,52,12,4,0,35,20,0,0,0,72,9,17,18,15,68,55,59,195,0.2206,1.0,52,False,,0,1.0329691519962476,-0.400830304339677,-0.21569,False,,False,False,Normale
INF-AA5165B959E3,2025,III. INFRACTIONS COURANTES,Jet d’immondice,jet d'immondice,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,2,2,4,1.0,1.0,2,False,,1,-2.0136485499991124,-0.0051965047972905,-0.24954,False,,False,False,Normale
INF-0894C53B1960,2025,III. INFRACTIONS COURANTES,Menace,menace,459,6,57,4,241,205,12,0,0,165,59,42,59,152,526,458,312,1149,0.289,1.0,459,False,,0,3.0012201844933104,-0.6530191493413249,-0.109675,False,,False,False,Normale
INF-F973198E13E9,2025,III. INFRACTIONS COURANTES,CBV,cbv,494,25,30,24,268,214,0,3,16,40,65,70,77,98,573,485,310,1114,0.171,1.0,494,False,,2,3.1754468661903794,3.476250081106002,-0.038685,False,,False,False,Normale
INF-4257E8ACDC24,2025,III. INFRACTIONS COURANTES,Autres,autres,253,2,2,4,138,135,0,0,0,85,39,27,7,46,261,273,119,619,0.1762,1.0,253,False,,0,2.2433455790897816,-0.5985786151682828,-0.173984,False,,False,False,Normale
INF-90F823076272,2025,III. INFRACTIONS COURANTES,Non-exécution DJ,non-execution dj,9,0,7,0,5,4,0,0,0,23,121,0,0,9,16,9,130,48,0.5625,1.0,9,False,,0,0.6116629201885583,-0.5211457337226605,-0.190092,False,,False,False,Normale
INF-C1A5CDAF783D,2025,III. INFRACTIONS COURANTES,Usurpation,usurpation,11,0,0,0,10,1,0,0,0,14,0,0,0,4,11,11,4,36,0.3636,1.0,11,False,,1,-0.7682579054113113,-0.1013622656517398,-0.246679,False,,False,False,Normale
INF-3307FCCA0D93,2025,IV. INFRACTIONS ÉCONOMIQUES,Escroquerie,escroquerie,997,40,163,78,573,519,45,71,0,396,135,40,226,288,1278,1208,689,2882,0.2254,1.0,997,False,,0,3.899365779602046,-0.7779980516064584,0.04128,True,,False,True,Moyenne
INF-31D3D86194F2,2025,IV. INFRACTIONS ÉCONOMIQUES,ABC,abc,1123,31,226,24,643,471,16,9,0,432,142,85,200,261,1404,1139,688,2975,0.1859,1.0,1123,False,,0,3.91249482794527,-0.7878778204005419,0.022731,True,Saisine_ST: valeur extrêmement élevée,True,True,Faible
INF-E1E8C818CC2F,2025,IV. INFRACTIONS ÉCONOMIQUES,Abus de fonction,abus de fonction,0,0,2,0,2,0,0,0,0,4,2,0,0,0,2,2,2,8,0.0,1.0,0,False,,1,-1.7015267794910998,-0.1349392273403033,-0.247275,False,,False,False,Normale
INF-2657935215E6,2025,IV. INFRACTIONS ÉCONOMIQUES,Extorsion de fonds,extorsion de fonds,8,0,5,0,7,5,0,0,0,17,6,0,1,12,13,12,19,42,0.9231,1.0,8,False,,1,-0.0161649777197819,-0.2595248549685737,-0.236173,False,,False,False,Normale
