Annee;Categorie;Infraction_Affaire_traitee;Infraction_normalisee;Saisine_Plaintes_directes;Saisine_FD;Saisine_ST;Saisine_Autres;Victimes_H;Victimes_F;Victimes_G;Victimes_F_fille;MiseEnCause_Neutralises;MiseEnCause_Interpelles;Resultats_En_cours;Resultats_Retraits;Resultats_DAT;Resultats_DEF;Observations_Objets_saisis
2025;III. INFRACTIONS COURANTES;Tentative de vol;tentative de vol;34;0;0;0;26;22;0;0;0;11;5;0;4;8;
2025;III. INFRACTIONS COURANTES;Outrage et diffamation publique;outrage et diffamation publique;52;12;4;0;35;20;0;0;0;72;9;17;18;15;
2025;III. INFRACTIONS COURANTES;Jet d’immondice;jet d’immondice;2;0;0;0;2;0;0;0;0;0;0;0;0;2;
2025;III. INFRACTIONS COURANTES;Menace;menace;459;6;57;4;241;205;12;0;0;165;59;42;59;152;
2025;III. INFRACTIONS COURANTES;CBV;cbv;494;25;30;24;268;214;0;3;16;40;65;70;77;98;
2025;III. INFRACTIONS COURANTES;Autres;autres;253;2;2;4;138;135;0;0;0;85;39;27;7;46;
2025;III. INFRACTIONS COURANTES;Non-exécution DJ;non-execution dj;9;0;7;0;5;4;0;0;0;23;121;0;0;9;
2025;III. INFRACTIONS COURANTES;Usurpation;usurpation;11;0;0;0;10;1;0;0;0;14;0;0;0;4;
2025;IV. INFRACTIONS ÉCONOMIQUES;Escroquerie;escroquerie;997;40;163;78;573;519;45;71;0;396;135;40;226;288;
2025;IV. INFRACTIONS ÉCONOMIQUES;ABC;abc;1123;31;226;24;643;471;16;9;0;432;142;85;200;261;
2025;IV. INFRACTIONS ÉCONOMIQUES;Abus de fonction;abus de fonction;0;0;2;0;2;0;0;0;0;4;2;0;0;0;
2025;IV. INFRACTIONS ÉCONOMIQUES;Extorsion de fonds;extorsion de fonds;8;0;5;0;7;5;0;0;0;17;6;0;1;12;
2025;IV. INFRACTIONS ÉCONOMIQUES;Blanchiment de capitaux;blanchiment de capitaux;0;0;1;0;1;0;0;0;0;1;1;0;0;0;
2025;IV. INFRACTIONS ÉCONOMIQUES;Destructions de bien d’autrui;destructions de bien d’autrui;71;1;4;0;49;28;0;0;0;95;9;4;6;38;
2025;IV. INFRACTIONS ÉCONOMIQUES;Incendie criminel, volontaire;incendie criminel, volontaire;1;0;0;0;1;1;0;0;0;3;0;1;0;2;
2025;IV. INFRACTIONS ÉCONOMIQUES;Emission de chèque sans provision;emission de cheque sans provision;6;0;4;0;7;1;0;0;0;7;5;0;11;10;
2025;IV. INFRACTIONS ÉCONOMIQUES;Non-exécution d’une décision judiciaire;non-execution d’une decision judiciaire;0;0;4;0;2;1;0;0;0;4;3;0;0;3;
2025;IV. INFRACTIONS ÉCONOMIQUES;Faux et usage de faux;faux et usage de faux;38;1;22;0;46;25;0;0;0;39;15;0;14;31;
2025;IV. INFRACTIONS ÉCONOMIQUES;Trafic d’influence;trafic d’influence;0;0;1;0;2;0;0;0;0;5;0;0;0;1;
2025;IV. INFRACTIONS ÉCONOMIQUES;Abattage d’arbre;abattage d’arbre;0;0;1;0;1;0;0;0;0;0;0;0;0;1;
2025;IV. INFRACTIONS ÉCONOMIQUES;Acte de concurrence déloyale;acte de concurrence deloyale;0;0;1;0;1;0;0;0;0;0;1;0;0;0;
2025;IV. INFRACTIONS ÉCONOMIQUES;Détournement de fonds;detournement de fonds;2;0;1;0;3;0;0;0;0;2;1;0;0;2;
2025;IV. INFRACTIONS ÉCONOMIQUES;Stellionat;stellionat;1;0;0;0;0;1;0;0;0;0;0;0;0;1;
2025;IV. INFRACTIONS ÉCONOMIQUES;Usurpation d’identité;usurpation d’identite;0;0;2;0;2;0;0;0;0;2;0;0;1;1;
2025;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Détention et consommation chanvre Indien, vente;detention et consommation chanvre indien, vente;2;81;0;47;4;0;1;0;0;234;0;32;45;59;
2025;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Vente et injection d’héroïne;vente et injection d’heroine;0;14;0;3;0;0;0;0;0;28;0;0;3;25;
2025;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Trafic;trafic;1;0;0;0;1;0;0;0;0;0;0;1;0;0;
